x,y,m
20,104,1.0
184,176,2.0
-102,271,2.0
40,27,-1.0
-17,30,1.0
32,246,2.0
-64,-6,-1.0
2,252,-1.0
-115,237,-1.0
66,226,-1.0
-31,53,-1.0
64,76,1.0
-35,8,-1.0
23,53,-1.0
235,47,-1.0
62,243,2.0
35,9,1.0
2,61,1.0
-50,258,2.0
-77,7,-1.0
70,75,1.0
59,262,-1.0
22,11,-1.0
-4,9,1.0
9,60,-1.0
-4,16,1.0
72,266,-1.0
-23,8,-1.0
0,0,1.0
-134,227,2.0
-227,16,-1.0
21,23,-1.0
0,0,-1.0
26,257,2.0
-175,206,2.0
-81,62,1.0
-4,263,-1.0
0,0,-1.0
-39,36,-1.0
21,258,2.0
-6,57,-1.0
0,0,-1.0
28,85,-1.0
18,50,-1.0
-214,128,-1.0
-221,137,-1.0
-27,172,1.0
-6,50,1.0
221,38,-1.0
22,215,-1.0
-75,122,-1.0
39,94,-1.0
99,132,-1.0
-6,78,1.0
-184,184,-1.0
-230,11,-1.0
167,189,-1.0
70,86,1.0
-28,105,1.0
-168,195,-1.0
221,15,2.0
-43,125,1.0
-4,8,1.0
27,29,-1.0
-64,128,1.0
-98,244,-1.0
-34,29,1.0
29,27,-1.0
227,25,2.0
-173,212,2.0
9,280,-1.0
-20,13,1.0
132,98,1.0
-13,243,-1.0
23,9,1.0
5,32,1.0
-55,90,1.0
27,50,-1.0
-233,43,-1.0
58,127,-1.0
-2,20,-1.0
31,241,2.0
21,4,1.0
-17,29,-1.0
23,25,1.0
76,276,2.0
21,180,1.0
26,197,-1.0
-225,8,-1.0
-51,34,-1.0
-225,77,-1.0
64,247,2.0
-33,169,1.0
-225,13,2.0
5,246,-1.0
42,21,1.0
38,255,-1.0
-100,224,2.0
11,66,-1.0
-225,9,-1.0
56,31,-1.0
-54,51,-1.0
228,25,-1.0
230,11,2.0
32,127,-1.0
2,246,2.0
29,13,-1.0
10,96,1.0
156,213,2.0
25,56,-1.0
15,53,-1.0
-237,15,-1.0
153,5,1.0
-47,146,-1.0
-48,24,-1.0
-83,79,-1.0
-233,49,-1.0
224,-11,-1.0
-50,21,1.0
112,281,-1.0
-11,5,-1.0
0,0,-1.0
72,155,-1.0
-91,139,-1.0
54,21,-1.0
33,34,-1.0
232,-10,-1.0
232,-21,2.0
233,-26,-1.0
12,16,1.0
-47,32,-1.0
-214,170,2.0
-16,127,1.0
18,16,1.0
-32,44,1.0
-219,131,2.0
131,193,-1.0
-1,275,-1.0
25,18,1.0
-28,12,1.0
-211,18,-1.0
-49,60,-1.0
0,0,1.0
-18,120,-1.0
-44,26,-1.0
49,259,-1.0
-28,12,-1.0
-185,225,-1.0
-36,2,-1.0
22,262,-1.0
-240,16,-1.0
-239,2,-1.0
-126,221,-1.0
-42,47,-1.0
221,133,2.0
-49,18,1.0
-130,180,-1.0
0,0,-1.0
7,8,-1.0
137,221,2.0
38,259,-1.0
137,221,-1.0
224,-22,-1.0
-140,23,-1.0
-37,-9,-1.0
61,116,-1.0
31,15,-1.0
235,-10,-1.0
-13,121,-1.0
123,232,2.0
21,16,1.0
86,253,-1.0
77,245,2.0
234,16,-1.0
120,267,-1.0
27,22,1.0
0,169,-1.0
64,145,-1.0
228,101,2.0
29,13,1.0
-224,103,-1.0
-232,0,-1.0
26,43,-1.0
-141,5,-1.0
-146,200,2.0
174,192,2.0
-72,261,2.0
25,26,1.0
-22,20,-1.0
-227,71,-1.0
34,14,1.0
99,255,-1.0
22,24,1.0
-125,229,-1.0
16,26,1.0
22,3,1.0
-23,5,-1.0
0,0,-1.0
34,20,1.0
9,8,1.0
-174,187,-1.0
21,20,-1.0
131,231,-1.0
26,19,1.0
-169,193,-1.0
135,235,2.0
-234,-1,-1.0
22,15,1.0
55,113,-1.0
-217,117,2.0
22,79,1.0
