game_id,home_team_id,home_team_name,home_team_city,home_team_tricode,home_team_wins,home_team_losses,home_team_score,away_team_id,away_team_name,away_team_city,away_team_tricode,away_team_wins,away_team_losses,away_team_score,arena,arena_city,arena_state,arena_country,arena_timezone,gameTimeET,gameTimeUTC,duration,attendance,sellout
0022300552,1610612749,Bucks,Milwaukee,MIL,28,12,143,1610612758,Kings,Sacramento,SAC,23,16,142,Fiserv Forum,Milwaukee,WI,US,Central,2024-01-14T19:00:00Z,2024-01-15T00:00:00Z,2:41,17612,1
0022300102,1610612754,Pacers,Indiana,IND,2,1,105,1610612741,Bulls,Chicago,CHI,2,2,112,Gainbridge Fieldhouse,Indianapolis,IN,US,Eastern,2023-10-30T19:00:00Z,2023-10-30T23:00:00Z,2:26,15021,0
0022300801,1610612762,Jazz,Utah,UTA,26,31,107,1610612766,Hornets,Charlotte,CHA,14,41,115,Delta Center,Salt Lake City,UT,US,Mountain,2024-02-22T21:00:00Z,2024-02-23T02:00:00Z,2:14,18206,1
0022300381,1610612757,Trail Blazers,Portland,POR,7,20,117,1610612764,Wizards,Washington,WAS,5,22,118,Moda Center,Portland,OR,US,Pacific,2023-12-21T22:00:00Z,2023-12-22T03:00:00Z,2:23,18690,0
0022301085,1610612759,Spurs,San Antonio,SAS,18,57,113,1610612744,Warriors,Golden State,GSW,40,34,117,Frost Bank Center,San Antonio,TX,US,Central,2024-03-31T19:00:00Z,2024-03-31T23:00:00Z,2:11,18718,1
0022300694,1610612750,Timberwolves,Minnesota,MIN,34,15,106,1610612753,Magic,Orlando,ORL,26,23,108,Target Center,Minneapolis,MN,US,Central,2024-02-02T20:00:00Z,2024-02-03T01:00:00Z,2:16,18024,1
0022300010,1610612738,Celtics,Boston,BOS,6,2,121,1610612751,Nets,Brooklyn,BKN,4,5,107,TD Garden,Boston,MA,US,Eastern,2023-11-10T19:30:00Z,2023-11-11T00:30:00Z,2:11,19156,1
0022300440,1610612765,Pistons,Detroit,DET,3,29,129,1610612761,Raptors,Toronto,TOR,12,20,127,Little Caesars Arena,Detroit,MI,US,Eastern,2023-12-30T18:00:00Z,2023-12-30T23:00:00Z,2:25,18411,0
0022300913,1610612763,Grizzlies,Memphis,MEM,22,42,92,1610612737,Hawks,Atlanta,ATL,29,34,99,FedExForum,Memphis,TN,US,Central,2024-03-08T20:00:00Z,2024-03-09T01:00:00Z,2:11,16667,0
0022300856,1610612747,Lakers,Los Angeles,LAL,33,28,134,1610612764,Wizards,Washington,WAS,9,50,131,Crypto.com Arena,Los Angeles,CA,US,Pacific,2024-02-29T22:30:00Z,2024-03-01T03:30:00Z,2:23,18997,1
0022300155,1610612760,Thunder,Oklahoma City,OKC,4,3,126,1610612737,Hawks,Atlanta,ATL,4,3,117,Paycom Center,Oklahoma City,OK,US,Central,2023-11-06T20:00:00Z,2023-11-07T01:00:00Z,2:17,16486,0
0022300505,1610612747,Lakers,Los Angeles,LAL,18,19,106,1610612746,Clippers,LA,LAC,22,13,103,Crypto.com Arena,Los Angeles,CA,US,Pacific,2024-01-07T21:30:00Z,2024-01-08T02:30:00Z,2:17,18997,1
