home_win,home_team_tricode,arena,attendance,sellout,gameTimeET,gameTimeUTC,duration
1,PHI,Wells Fargo Center,19766,1,2024-01-12T19:30:00Z,2024-01-13T00:30:00Z,2:16
0,CHI,United Center,18220,0,2023-11-08T20:00:00Z,2023-11-09T01:00:00Z,2:35
0,BKN,Barclays Center,17732,1,2024-01-07T15:00:00Z,2024-01-07T20:00:00Z,2:40
0,MEM,FedExForum,15493,0,2024-03-01T20:00:00Z,2024-03-02T01:00:00Z,2:08
0,LAC,Crypto.com Arena,19370,1,2024-03-10T15:00:00Z,2024-03-10T19:00:00Z,2:19
0,SAS,Frost Bank Center,19082,1,2024-01-04T19:30:00Z,2024-01-05T00:30:00Z,2:17
0,CHA,Spectrum Center,19258,1,2023-11-17T19:00:00Z,2023-11-18T00:00:00Z,2:10
1,SAS,Frost Bank Center,18027,0,2024-03-03T19:00:00Z,2024-03-04T00:00:00Z,2:15
1,BOS,TD Garden,19156,1,2023-11-11T19:00:00Z,2023-11-12T00:00:00Z,2:04
1,UTA,Delta Center,18206,1,2024-01-10T22:00:00Z,2024-01-11T03:00:00Z,2:23
0,TOR,Scotiabank Arena,19800,1,2023-11-17T19:30:00Z,2023-11-18T00:30:00Z,2:03
1,NOP,Smoothie King Center,16253,0,2024-01-02T20:00:00Z,2024-01-03T01:00:00Z,1:56
1,LAL,Crypto.com Arena,18997,1,2024-03-10T21:30:00Z,2024-03-11T01:30:00Z,2:15
0,UTA,Delta Center,18206,1,2024-03-06T21:00:00Z,2024-03-07T02:00:00Z,2:14
1,DAL,American Airlines Center,20277,0,2024-02-10T15:00:00Z,2024-02-10T20:00:00Z,2:14
1,UTA,Delta Center,18206,1,2023-12-13T21:00:00Z,2023-12-14T02:00:00Z,2:29
0,ATL,State Farm Arena,16158,0,2024-04-10T19:30:00Z,2024-04-10T23:30:00Z,2:09
1,NYK,Madison Square Garden,19439,0,2024-01-17T19:30:00Z,2024-01-18T00:30:00Z,2:16
1,WAS,Capital One Arena,16191,0,2023-10-28T19:00:00Z,2023-10-28T23:00:00Z,2:17
1,MIN,Target Center,18024,1,2023-11-01T20:00:00Z,2023-11-02T00:00:00Z,2:11
0,WAS,Capital One Arena,17895,0,2024-02-25T18:00:00Z,2024-02-25T23:00:00Z,2:14
1,BOS,TD Garden,19156,1,2023-12-08T19:30:00Z,2023-12-09T00:30:00Z,2:16
0,SAS,Moody Center,16223,1,2024-03-15T20:30:00Z,2024-03-16T00:30:00Z,2:07
1,PHX,Footprint Center,17071,1,2023-12-29T21:00:00Z,2023-12-30T02:00:00Z,2:10
1,ORL,Amway Center,18846,1,2023-10-25T19:00:00Z,2023-10-25T23:00:00Z,2:14
1,OKC,Paycom Center,18203,1,2024-04-14T15:30:00Z,2024-04-14T19:30:00Z,1:56
1,PHX,Footprint Center,17071,1,2024-02-14T21:00:00Z,2024-02-15T02:00:00Z,2:16
1,DAL,American Airlines Center,19921,1,2024-02-12T20:30:00Z,2024-02-13T01:30:00Z,2:16
0,CHA,Spectrum Center,15543,0,2023-12-11T19:00:00Z,2023-12-12T00:00:00Z,2:23
1,MIN,Target Center,18024,1,2023-12-16T20:00:00Z,2023-12-17T01:00:00Z,2:11
1,OKC,Paycom Center,18203,0,2024-04-12T20:00:00Z,2024-04-13T00:00:00Z,2:03
1,HOU,Toyota Center,16236,0,2023-11-10T20:00:00Z,2023-11-11T01:00:00Z,2:28
1,IND,Gainbridge Fieldhouse,17274,1,2023-12-30T19:00:00Z,2023-12-31T00:00:00Z,0:00
1,NYK,Madison Square Garden,19812,1,2024-03-08T19:30:00Z,2024-03-09T00:30:00Z,2:03
0,DET,Little Caesars Arena,19299,0,2024-03-01T19:00:00Z,2024-03-02T00:00:00Z,2:12
1,MIN,Target Center,18024,1,2023-11-06T20:00:00Z,2023-11-07T01:00:00Z,0:00
0,GSW,Chase Center,18064,1,2024-01-07T20:30:00Z,2024-01-08T01:30:00Z,2:00
1,MIN,Target Center,18024,1,2023-12-21T21:00:00Z,2023-12-22T02:00:00Z,2:17
0,MIN,Target Center,18024,1,2024-03-31T19:00:00Z,2024-03-31T23:00:00Z,2:05
1,OKC,Paycom Center,17552,0,2024-02-02T20:00:00Z,2024-02-03T01:00:00Z,2:04
0,TOR,Scotiabank Arena,19084,0,2023-12-06T19:30:00Z,2023-12-07T00:30:00Z,2:11
1,SAC,Golden 1 Center,17832,1,2024-03-12T22:00:00Z,2024-03-13T02:00:00Z,2:17
0,WAS,Capital One Arena,15437,0,2023-12-27T19:00:00Z,2023-12-28T00:00:00Z,2:06
1,TOR,Scotiabank Arena,19800,1,2023-11-24T19:30:00Z,2023-11-25T00:30:00Z,2:12
1,MIN,Target Center,18024,1,2024-01-14T19:00:00Z,2024-01-15T00:00:00Z,2:25
0,WAS,Capital One Arena,17898,0,2023-10-30T19:00:00Z,2023-10-30T23:00:00Z,2:07
1,DEN,Ball Arena,19621,1,2024-02-22T21:00:00Z,2024-02-23T02:00:00Z,2:03
0,CHI,United Center,19583,0,2023-12-23T20:00:00Z,2023-12-24T01:00:00Z,2:07
1,BOS,TD Garden,19156,1,2024-02-07T19:30:00Z,2024-02-08T00:30:00Z,1:58
1,OKC,Paycom Center,18203,1,2023-12-21T20:00:00Z,2023-12-22T01:00:00Z,2:08
1,POR,Moda Center,19335,1,2024-01-31T22:00:00Z,2024-02-01T03:00:00Z,2:24
0,PHX,Footprint Center,17071,1,2024-04-07T18:00:00Z,2024-04-07T22:00:00Z,2:12
0,NOP,Smoothie King Center,17753,1,2024-04-01T20:00:00Z,2024-04-02T00:00:00Z,2:14
0,MIN,Target Center,18024,1,2023-11-24T20:00:00Z,2023-11-25T01:00:00Z,2:11
0,SAC,Golden 1 Center,17983,1,2023-12-23T22:00:00Z,2023-12-24T03:00:00Z,2:05
1,POR,Moda Center,18064,0,2024-03-13T22:00:00Z,2024-03-14T02:00:00Z,2:11
1,CHI,United Center,17689,0,2023-12-06T20:00:00Z,2023-12-07T01:00:00Z,2:16
0,NYK,Madison Square Garden,19812,1,2024-02-24T20:30:00Z,2024-02-25T01:30:00Z,2:07
0,DET,Little Caesars Arena,16912,0,2023-11-01T19:00:00Z,2023-11-01T23:00:00Z,2:09
1,MIL,Fiserv Forum,18009,1,2024-01-13T20:00:00Z,2024-01-14T01:00:00Z,2:09
0,POR,Moda Center,18606,0,2024-02-15T22:00:00Z,2024-02-16T03:00:00Z,2:11
1,SAS,Frost Bank Center,18665,1,2024-04-12T20:00:00Z,2024-04-13T00:00:00Z,2:08
0,MIA,Kaseya Center,19650,1,2023-12-02T20:00:00Z,2023-12-03T01:00:00Z,2:17
1,DAL,American Airlines Center,20221,1,2024-03-07T19:30:00Z,2024-03-08T00:30:00Z,2:23
