home_win,home_team_tricode,away_team_tricode,home_team_score,away_team_score,arena,gameTimeET,duration,attendance,sellout
,ATL,POR,120,106,State Farm Arena,2024-03-27T19:30:00Z,2:07,16059,0
,DET,MIN,117,124,Little Caesars Arena,2024-01-17T19:00:00Z,2:07,16022,0
,MIN,MIA,106,90,Target Center,2023-10-28T20:00:00Z,2:07,18024,1
,DEN,CHI,123,101,Ball Arena,2023-11-04T21:00:00Z,2:09,19610,1
,LAL,ATL,136,105,Crypto.com Arena,2024-03-18T22:30:00Z,1:56,18997,1
,BOS,DEN,100,102,TD Garden,2024-01-19T19:30:00Z,2:13,19156,1
,ORL,CHI,114,108,Kia Center,2024-02-10T19:00:00Z,2:22,19459,1
,OKC,UTA,134,120,Paycom Center,2023-12-11T20:00:00Z,2:03,16631,0
,LAL,MIN,117,127,Crypto.com Arena,2024-04-07T22:00:00Z,2:05,18997,1
,HOU,CHI,127,117,Toyota Center,2024-03-21T20:00:00Z,2:19,17016,0
,OKC,POR,111,109,Paycom Center,2024-01-23T20:00:00Z,2:11,15874,0
,NYK,PHX,113,116,Madison Square Garden,2023-11-26T18:00:00Z,2:25,19812,1
,WAS,NYK,105,121,Capital One Arena,2024-01-06T19:00:00Z,2:11,20333,1
,CHI,DET,119,108,United Center,2023-11-12T19:00:00Z,2:12,19088,0
,ORL,IND,97,111,Kia Center,2024-03-10T18:00:00Z,2:19,19481,1
,UTA,WAS,127,115,Delta Center,2024-03-04T21:00:00Z,2:07,18206,1
,LAL,GSW,120,134,Crypto.com Arena,2024-04-09T22:00:00Z,2:15,18997,1
,HOU,MEM,117,104,Toyota Center,2023-12-13T20:00:00Z,2:19,16813,0
,TOR,HOU,107,104,Scotiabank Arena,2024-02-09T19:30:00Z,2:19,19800,1
,CLE,TOR,105,102,Rocket Mortgage FieldHouse,2023-11-26T19:30:00Z,2:16,19432,1
,ORL,MIA,105,87,Kia Center,2024-01-21T18:00:00Z,2:17,18102,0
,PHX,ATL,128,115,Footprint Center,2024-03-21T22:30:00Z,2:21,17071,1
,MIL,BOS,135,102,Fiserv Forum,2024-01-11T19:30:00Z,2:12,17781,1
,BKN,WAS,102,94,Barclays Center,2023-11-12T15:00:00Z,2:17,17732,1
,CLE,WAS,114,90,Rocket Mortgage FieldHouse,2024-01-05T19:30:00Z,2:05,19432,1
,WAS,ORL,109,119,Capital One Arena,2024-03-06T19:00:00Z,2:14,16018,0
,PHX,MIN,133,115,Footprint Center,2023-11-15T21:00:00Z,2:07,17071,1
,CHA,LAL,118,124,Spectrum Center,2024-02-05T19:00:00Z,2:02,19375,1
,LAC,NYK,144,122,Crypto.com Arena,2023-12-16T22:30:00Z,2:16,19370,1
,CHA,POR,86,89,Spectrum Center,2024-04-03T19:00:00Z,2:06,14209,0
,SAC,DAL,96,132,Golden 1 Center,2024-03-26T22:00:00Z,2:11,17832,1
,POR,CHI,96,104,Moda Center,2024-01-28T21:00:00Z,2:12,17899,0
,SAS,MEM,108,120,Frost Bank Center,2023-11-18T20:00:00Z,2:18,18354,1
,CHI,POR,110,107,United Center,2024-03-18T20:00:00Z,2:19,20293,0
,UTA,LAC,120,118,Delta Center,2023-10-27T21:30:00Z,2:16,18206,1
