x,y,m
224,10,-1.0
115,63,-1.0
-32,51,-1.0
94,178,-1.0
55,104,-1.0
-235,13,-1.0
136,210,-1.0
66,148,-1.0
14,-2,1.0
-184,187,-1.0
176,178,-1.0
-194,172,2.0
-222,121,-1.0
40,24,-1.0
-16,13,1.0
33,22,1.0
-54,134,-1.0
-28,13,1.0
-9,19,1.0
-169,231,-1.0
196,152,2.0
1,19,1.0
-2,15,1.0
233,26,2.0
-43,170,1.0
-113,243,-1.0
42,260,-1.0
0,0,1.0
-210,175,2.0
-197,218,2.0
-206,178,-1.0
-116,90,-1.0
45,257,2.0
60,181,1.0
214,126,-1.0
-60,37,-1.0
159,209,2.0
-229,2,2.0
1,-5,-1.0
2,57,-1.0
205,162,-1.0
-235,8,-1.0
-179,189,-1.0
-1,204,-1.0
26,194,-1.0
-98,273,-1.0
77,147,-1.0
-157,-3,-1.0
132,7,-1.0
20,17,-1.0
221,4,-1.0
210,149,-1.0
229,31,2.0
152,207,-1.0
42,205,1.0
-146,228,2.0
123,96,-1.0
10,151,-1.0
7,2,-1.0
-11,13,-1.0
221,43,2.0
9,12,-1.0
5,-1,-1.0
-5,11,1.0
-212,149,-1.0
26,10,-1.0
5,26,-1.0
0,0,-1.0
0,0,-1.0
222,107,-1.0
-67,253,-1.0
-207,130,-1.0
185,192,-1.0
235,103,2.0
-221,127,-1.0
-205,135,2.0
183,167,-1.0
-78,87,-1.0
7,15,1.0
108,237,-1.0
232,114,2.0
-108,226,2.0
16,180,-1.0
195,179,2.0
-56,59,-1.0
235,17,-1.0
2,9,1.0
-1,5,1.0
-20,15,-1.0
127,83,-1.0
65,82,-1.0
-184,179,2.0
196,487,-1.0
135,229,-1.0
-81,241,2.0
-99,78,-1.0
82,124,1.0
-5,151,-1.0
-134,108,-1.0
-82,96,1.0
-124,225,-1.0
-4,-1,1.0
-6,11,1.0
-49,57,-1.0
0,0,-1.0
-96,103,-1.0
-34,45,1.0
62,66,1.0
-224,-2,-1.0
-39,82,-1.0
5,13,1.0
203,87,-1.0
-4,17,-1.0
-5,-6,1.0
38,176,1.0
-7,15,1.0
-224,11,-1.0
5,40,-1.0
-45,253,2.0
217,169,-1.0
0,22,1.0
4,25,1.0
-134,231,-1.0
203,151,2.0
73,122,1.0
201,194,2.0
178,180,-1.0
136,167,-1.0
50,63,-1.0
58,47,-1.0
-86,174,-1.0
-4,6,1.0
29,263,-1.0
17,16,-1.0
-225,115,-1.0
-7,11,1.0
-6,11,1.0
-2,-6,1.0
1,98,-1.0
212,155,-1.0
183,184,-1.0
153,240,-1.0
-10,17,1.0
-2,0,1.0
216,157,2.0
-4,11,1.0
-9,30,1.0
77,119,-1.0
43,38,1.0
-2,15,1.0
11,9,1.0
-13,281,-1.0
-51,25,1.0
1,13,1.0
0,21,1.0
12,288,-1.0
-82,38,-1.0
-2,25,-1.0
0,0,-1.0
0,0,-1.0
0,0,1.0
-180,198,2.0
129,148,-1.0
164,77,-1.0
